"key","key_type","camera","report_serial","source_pdf","width_mm","height_mm","px_cross","px_along","pitch_um","focal_mm","mm_stated","n_cameras","width_spread_pct","extrapolated","note","retrieved"
"121201_2011","calib_file","DMC II",,"Manuf_calib_DMCii_027.pdf",87.0912,79.2064,15552,14144,5.6,92.0145,TRUE,1,0,FALSE,,"2026-08-30"
"20114172_2019","calib_file","UltraCam Falcon M2","UC-Fp-1-20114172-f70","QSI_Calibration_UC-Fp-1-20114172-f70_20190926.pdf",103.86,67.86,17310,11310,6,70.5,FALSE,1,0,FALSE,,"2026-08-30"
"20814295_2013","calib_file","UltraCam Eagle","UC-Eagle-1-20814295-f80","2013_20814295.pdf",104.052,68.016,20010,13080,5.2,79.8,TRUE,1,0,FALSE,,"2026-08-30"
"20814295_2014","calib_file","UltraCam Eagle","UC-Eagle-1-20814295-f80","UC-E-1-20814295-f80-Rev04.01_V01.pdf",104.052,68.016,20010,13080,5.2,79.8,TRUE,1,0,FALSE,,"2026-08-30"
"20814295_2016","calib_file","UltraCam Eagle","UC-Eagle-1-20814295-f80","UC-E-1-20814295-f80-Rev07_V07_Short.pdf",104.052,68.016,20010,13080,5.2,79.8,TRUE,1,0,FALSE,,"2026-08-30"
"20814295_2017","calib_file","UltraCam Eagle","UC-E-1-20814295-f80","2017_092EFLK102I_Camera_Calibration_Report.pdf",104.052,68.016,20010,13080,5.2,79.8,TRUE,1,0,FALSE,,"2026-08-30"
"20814295_2018","calib_file","UltraCam Eagle M3","UC-EpII-1-22814295-f80","2018_calib_UC-Eagle_1_22814295-f80.pdf",105.84,68.016,26460,17004,4,79.8,TRUE,1,0,FALSE,,"2026-08-30"
"20910461_2016","calib_file","UltraCamXp","UC-SXp-1-20910461","20910461_16.pdf",103.86,67.86,17310,11310,6,100.5,TRUE,1,0,FALSE,,"2026-08-30"
"40112365_2015","calib_file","UltraCamXp","UC-SXp-1-40112365","40112365_15.pdf",103.86,67.86,17310,11310,6,100.5,TRUE,1,0,FALSE,,"2026-08-30"
"50311261_2014","calib_file","UltraCam Eagle","UC-Eagle-1-50311261-f100","50311261_14.pdf",104.052,68.016,20010,13080,5.2,100.5,TRUE,1,0,FALSE,,"2026-08-30"
"70912643_2015","calib_file","UltraCamXp","UC-SX-1-70912643","70912643_15.pdf",103.896,67.824,14430,9420,7.2,100.5,TRUE,1,0,FALSE,,"2026-08-30"
"dmc100039_2006","calib_file","DMC","DMC01 - 0039","dmc100039_06.pdf",165.888,92.16,13824,7680,12,120,FALSE,1,0,FALSE,"catalogue records focal 127; the report says 120 - report preferred","2026-08-30"
"dmc327542_2017","calib_file","DMC III","DMC III 27542","CalibProtocol_DMCIII_27542.pdf",100.3392,56.9088,25728,14592,3.9,92,TRUE,1,0,FALSE,,"2026-08-30"
"dmc327550_2018","calib_file","DMC III","DMC III 27550","Calibration Certificate_27550.pdf",100.3392,56.9088,25728,14592,3.9,92,TRUE,1,0,FALSE,,"2026-08-30"
"100","focal_length","inferred from focal length",,,103.86,67.86,,,,100,,3,0.2,FALSE,"modal width among calibrated cameras at this catalogue focal","2026-08-30"
"120","focal_length","extrapolated from nearest focal",,,165.888,92.16,,,,120,,1,,TRUE,"no calibrated camera at focal 120; the 11,984 frames are 2011 and the only large-format 120 mm body in the record is the Z/I DMC, whose own report gives a virtual focal of exactly 120 mm - so its 165.888 mm format is used. Marked extrapolated: this rests on camera identity, not on the catalogue focal being close to 127","2026-08-30"
"127","focal_length","inferred from focal length",,,165.888,92.16,,,,127,,1,0,FALSE,"modal width among calibrated cameras at this catalogue focal","2026-08-30"
"80","focal_length","inferred from focal length",,,104.052,68.016,,,,80,,3,5.5,FALSE,"modal width among calibrated cameras at this catalogue focal","2026-08-30"
"92","focal_length","inferred from focal length",,,100.3392,56.9088,,,,92,,2,15.2,FALSE,"modal width among calibrated cameras at this catalogue focal","2026-08-30"
