airp_id,arm,mech,dir,cut_u,share_removed,dem_coverage,footprint_terrain,height_source,height_agl,area,covered_n,covered_mean,covered_sd,covered_range,covered_grad,covered_planar,lost_elev
38998,anisotropic,na_mask,E,0.12,0.03198,1,dem_agl,reported,3167.997,5637962,125,794.003,59.51,230.32,0.0862652,794.003,878.091
38998,anisotropic,na_mask,E,0.35,0.271924,0.850394,dem_agl,reported,3179.665,5679570,108,782.335,54.907,230.32,0.0855875,795.191,852.767
38998,anisotropic,na_mask,E,0.5,0.500014,0.51938,dem_agl,reported,3210.298,5789533,67,751.702,41.035,121.72,0.091796,799.657,838.278
38998,anisotropic,na_mask,E,0.8,0.911175,0.181818,dem_agl,reported,3240.998,5900791,24,721.002,19.203,65.21,0.0658242,775.78,798.146
38998,anisotropic,na_mask,N,0.12,0.03187,0.975806,dem_agl,reported,3165.247,5628181,121,796.753,58.492,230.32,0.0871822,794.532,713.986
38998,anisotropic,na_mask,N,0.35,0.271056,0.758065,dem_agl,reported,3153.716,5587246,94,808.284,57.382,230.32,0.087678,795.19,755.085
38998,anisotropic,na_mask,N,0.5,0.500002,0.524194,dem_agl,reported,3147.199,5564180,65,814.801,56.815,229.86,0.0868617,799.555,774.75
38998,anisotropic,na_mask,N,0.8,0.911475,0.099174,dem_agl,reported,3103.635,5411206,12,858.365,38.799,138.08,0.119292,749.047,787.675
38998,anisotropic,na_mask,S,0.12,0.031869,0.984,dem_agl,reported,3169.67,5643921,123,792.33,58.252,201.69,0.0855597,793.758,863.313
38998,anisotropic,na_mask,S,0.35,0.271049,0.755906,dem_agl,reported,3179.301,5678269,96,782.699,58.14,187.87,0.0867954,796.516,824.104
38998,anisotropic,na_mask,S,0.5,0.499998,0.535433,dem_agl,reported,3186.756,5704930,68,775.244,56.598,187.87,0.0845279,795.696,814.907
38998,anisotropic,na_mask,S,0.8,0.911473,0.145038,dem_agl,reported,3223.168,5836047,19,738.832,31.736,84.48,0.0749874,780.302,800.249
38998,anisotropic,na_mask,W,0.12,0.031977,1,dem_agl,reported,3167.997,5637962,125,794.003,59.51,230.32,0.0862652,794.003,710.036
38998,anisotropic,na_mask,W,0.35,0.271896,0.822581,dem_agl,reported,3151.642,5579902,102,810.358,52.888,229.43,0.0843666,796.32,736.584
38998,anisotropic,na_mask,W,0.5,0.499986,0.653226,dem_agl,reported,3136.293,5525684,81,825.707,45.011,226.57,0.0850691,795.637,754.018
38998,anisotropic,na_mask,W,0.8,0.911166,0.132231,dem_agl,reported,3095.165,5381711,16,866.835,22.423,60.73,0.0949154,792.365,782.03
130022,anisotropic,na_mask,E,0.12,0.03237,0.96211,dem_agl,reported,6459.316,93141385,2004,873.58,147.062,545.23,0.0142819,876.474,1121.303
130022,anisotropic,na_mask,E,0.35,0.274796,0.718942,dem_agl,reported,6495.784,94196052,1518,836.956,128.9,538.14,0.0199432,810.61,1004.714
130022,anisotropic,na_mask,E,0.5,0.500053,0.509211,dem_agl,reported,6492.395,94097788,1072,840.229,140.747,538.14,0.04363,743.911,925.19
130022,anisotropic,na_mask,E,0.8,0.910121,0.108803,dem_agl,reported,6360.052,90300657,222,972.972,196.239,537.67,0.144595,429.541,865.382
130022,anisotropic,na_mask,N,0.12,0.032248,0.961058,dem_agl,reported,6448.564,92831556,1998,884.274,154.24,600.37,0.0185923,885.28,823.67
130022,anisotropic,na_mask,N,0.35,0.273922,0.714354,dem_agl,reported,6449.712,92864623,1485,882.593,171.77,600.37,0.0257514,911.679,882.719
130022,anisotropic,na_mask,N,0.5,0.500007,0.500478,dem_agl,reported,6459.377,93143135,1042,873.46,169.533,603.86,0.0391318,960.826,892.505
130022,anisotropic,na_mask,N,0.8,0.910432,0.110855,dem_agl,reported,6547.81,95710976,234,781.248,98.064,355.44,0.0482907,817.103,888.652
130022,anisotropic,na_mask,S,0.12,0.032244,0.960096,dem_agl,reported,6445.705,92749262,1993,887.08,151.912,600.37,0.0181602,887.474,737.414
130022,anisotropic,na_mask,S,0.35,0.273898,0.724421,dem_agl,reported,6432.454,92368318,1501,900.546,149.777,600.16,0.0327378,915.613,819.82
130022,anisotropic,na_mask,S,0.5,0.499993,0.511336,dem_agl,reported,6441.444,92626681,1061,891.579,133.974,544.75,0.0415151,890,860.259
130022,anisotropic,na_mask,S,0.8,0.910423,0.105938,dem_agl,reported,6487.435,93954065,223,845.565,36.079,189.33,0.0303237,984.918,879.533
130022,anisotropic,na_mask,W,0.12,0.032356,0.954458,dem_agl,reported,6460.611,93178742,1989,872.282,144.023,603.86,0.0311152,864.727,1135.698
130022,anisotropic,na_mask,W,0.35,0.27469,0.741827,dem_agl,reported,6449.336,92853782,1542,883.454,144.9,600.37,0.0535007,822.748,853.736
130022,anisotropic,na_mask,W,0.5,0.499947,0.532751,dem_agl,reported,6416.047,91897710,1098,916.953,149.987,599.95,0.0683157,783.636,829.11
130022,anisotropic,na_mask,W,0.8,0.910083,0.119011,dem_agl,reported,6236.468,86825451,232,1097.413,84.738,420.6,0.0598494,874.177,853.521
160466,anisotropic,na_mask,E,0.12,0.035641,0.981945,dem_agl,reported,5785.653,74726451,1686,1836.347,49.766,349.47,0.0058044,1835.795,1761.479
160466,anisotropic,na_mask,E,0.35,0.291409,0.762712,dem_agl,reported,5776.032,74478133,1303,1846.015,46.149,349.47,0.00686069,1846.716,1794.672
160466,anisotropic,na_mask,E,0.5,0.500051,0.5372,dem_agl,reported,5772.289,74381630,917,1849.711,46.142,237.44,0.0182838,1876.588,1813.583
160466,anisotropic,na_mask,E,0.8,0.901049,0.103768,dem_agl,reported,5800.077,75099523,179,1821.923,31.913,146.48,0.0309341,1924.985,1831.706
160466,anisotropic,na_mask,N,0.12,0.035631,0.976717,dem_agl,reported,5785.725,74728320,1677,1836.213,50.171,349.47,0.00627179,1836.187,1787.062
160466,anisotropic,na_mask,N,0.35,0.291354,0.733683,dem_agl,reported,5780.983,74605865,1258,1841.024,53.651,349.47,0.00764148,1843.223,1816.36
160466,anisotropic,na_mask,N,0.5,0.499998,0.509027,dem_agl,reported,5782.216,74637701,873,1839.792,58.805,349.47,0.0104822,1838.436,1826.835
160466,anisotropic,na_mask,N,0.8,0.901032,0.084442,dem_agl,reported,5800.839,75119238,145,1822.587,83.86,349.47,0.0649719,2044.183,1832.198
160466,anisotropic,na_mask,S,0.12,0.035628,0.976121,dem_agl,reported,5785.063,74711224,1675,1836.968,48.901,303.91,0.00690784,1837.34,1747.671
160466,anisotropic,na_mask,S,0.35,0.291349,0.730076,dem_agl,reported,5789.049,74814199,1254,1832.986,42.656,226.44,0.00661759,1840.49,1834.686
160466,anisotropic,na_mask,S,0.5,0.500002,0.506108,dem_agl,reported,5791.333,74873244,870,1830.667,39.578,211.29,0.0139312,1859.852,1834.147
160466,anisotropic,na_mask,S,0.8,0.901024,0.094199,dem_agl,reported,5828.439,75835775,164,1793.561,19.9,87.46,0.0210854,1859.381,1834.547
160466,anisotropic,na_mask,W,0.12,0.035622,0.986612,dem_agl,reported,5786.63,74751681,1694,1835.309,50.369,349.47,0.00697031,1835.812,1806.897
160466,anisotropic,na_mask,W,0.35,0.291307,0.732403,dem_agl,reported,5788.498,74799964,1258,1833.537,53.909,349.47,0.0139659,1849.289,1839.272
160466,anisotropic,na_mask,W,0.5,0.499949,0.508386,dem_agl,reported,5800.874,75120152,877,1821.404,50.498,308.64,0.0197075,1861.526,1847.879
160466,anisotropic,na_mask,W,0.8,0.900997,0.086187,dem_agl,reported,5835.171,76011059,148,1787.532,39.956,215.28,0.0584925,1987.065,1836.156
170883,anisotropic,na_mask,E,0.12,0.030082,0.966667,dem_agl,reported,3084.069,5343195,116,268.931,10.809,36.17,0.0116911,269.197,292.005
