airp_id,arm,run_id,stratum,holdout,scale_n,focal_length,flying_height,relief_coarse,bearing,ref_ok,ref_agl,ref_area,ref_elev,ref_sd,ref_range,ref_grad,ref_n,nominal_area
38998,anisotropic,s6_2,scale_fine/relief_q2,FALSE,10000,305,3962,101.5,269.66,TRUE,3168,5637962,794.003,59.51,230.32,0.0862652,125,5225796
130022,anisotropic,s2_6,scale_coarse/relief_q2,FALSE,40000,153,7333,138.71,268.91,TRUE,6450.96,92900542,881.702,151.882,600.37,0.0180291,2078,83612736
160466,anisotropic,s1_10,scale_coarse/relief_q1,FALSE,40000,153,7622,57.5,264.09,TRUE,5786.85,74757448,1835.113,50.171,349.47,0.00638295,1717,83612736
170883,anisotropic,s5_6,scale_fine/relief_q1,FALSE,10000,305,3353,26.6,275.61,TRUE,3083.31,5340581,269.685,11.388,37.05,0.0124723,120,5225796
215166,anisotropic,s1_1,scale_coarse/relief_q1,FALSE,40000,153,6661,8.38,84.69,TRUE,6219.19,86344963,441.812,13.13,95.32,0.00360613,1888,83612736
216938,anisotropic,s4_10,scale_coarse/relief_q4,FALSE,40000,153,8720,280.31,84.72,TRUE,6721.12,100844683,1998.879,392.423,1839.06,0.0688248,2282,83612736
248413,anisotropic,s2_3,scale_coarse/relief_q2,FALSE,40000,153,7927,70.96,87.35,TRUE,6551.73,95825615,1375.214,84.859,415.07,0.0181142,2165,83612736
338907,anisotropic,s1_4,scale_coarse/relief_q1,FALSE,60000,153,10175,67.03,267.87,TRUE,9272.14,191924315,902.853,111.892,560.45,0.0227575,4339,188128656
498562,anisotropic,s7_1,scale_fine/relief_q3,FALSE,15000,305,6248,199.4,265.2,TRUE,5304.62,15807461,943.375,115.577,641.85,0.0908777,363,11758041
501678,anisotropic,s7_4,scale_fine/relief_q3,FALSE,15000,305,6248,216.73,265.81,TRUE,5129.3,14779815,1117.078,113.945,447.62,0.0982354,333,11758041
561817,anisotropic,s7_7,scale_fine/relief_q3,FALSE,15000,305,5791,221.5,172.12,TRUE,4280.09,10291041,1511.442,66.677,298.71,0.038425,236,11758041
581653,anisotropic,s6_5,scale_fine/relief_q2,FALSE,15000,305,5913,109.75,88.48,TRUE,4647.03,12131189,1266.032,80.318,332.74,0.0631113,272,11758041
583735,anisotropic,s5_9,scale_fine/relief_q1,FALSE,15000,305,5944,65.71,86.88,TRUE,5075.31,14470338,868.686,8.094,43.23,0.00477136,328,11758041
