"airp_id","photo_year","film_roll","scale_n","focal_length","flying_height","elev","set"
237277,1994,"bcc94147",52000,305,5511,994.6,"lower_tail"
699759,1968,"bc5280",6000,153,457,83.9,"lower_tail"
699760,1968,"bc5280",6000,153,457,47.4,"lower_tail"
699761,1968,"bc5280",6000,153,457,22,"lower_tail"
724759,1980,"bc80001",10000,305,1524,30.5,"lower_tail"
724760,1980,"bc80001",10000,305,1524,40.5,"lower_tail"
724761,1980,"bc80001",10000,305,1524,47.3,"lower_tail"
724762,1980,"bc80001",10000,305,1524,47.5,"lower_tail"
724763,1980,"bc80001",10000,305,1524,41.7,"lower_tail"
724764,1980,"bc80001",10000,305,1524,35.7,"lower_tail"
724765,1980,"bc80001",10000,305,1524,37.3,"lower_tail"
724766,1980,"bc80001",10000,305,1524,49.8,"lower_tail"
724767,1980,"bc80001",10000,305,1524,70.9,"lower_tail"
724768,1980,"bc80001",10000,305,1524,97.1,"lower_tail"
724769,1980,"bc80001",10000,305,1524,94.7,"lower_tail"
724770,1980,"bc80001",10000,305,1524,95.2,"lower_tail"
724771,1980,"bc80001",10000,305,1524,94.4,"lower_tail"
724772,1980,"bc80001",10000,305,1524,92.9,"lower_tail"
724773,1980,"bc80001",10000,305,1524,91.2,"lower_tail"
724774,1980,"bc80001",10000,305,1524,87.7,"lower_tail"
724775,1980,"bc80001",10000,305,1524,81.6,"lower_tail"
724776,1980,"bc80001",10000,305,1524,72.5,"lower_tail"
724777,1980,"bc80001",10000,305,1524,59.9,"lower_tail"
724778,1980,"bc80001",10000,305,1524,45.8,"lower_tail"
724779,1980,"bc80001",10000,305,1524,32.8,"lower_tail"
724780,1980,"bc80001",10000,305,1524,25.1,"lower_tail"
724781,1980,"bc80001",10000,305,1524,20.8,"lower_tail"
724782,1980,"bc80001",10000,305,1524,13.5,"lower_tail"
724783,1980,"bc80001",10000,305,1524,6.7,"lower_tail"
724784,1980,"bc80001",10000,305,1524,4.5,"lower_tail"
724785,1980,"bc80001",10000,305,1524,2.7,"lower_tail"
724786,1980,"bc80001",10000,305,1524,6.1,"lower_tail"
724787,1980,"bc80001",10000,305,1524,12.3,"lower_tail"
724788,1980,"bc80001",10000,305,1524,-0.7,"lower_tail"
724789,1980,"bc80001",10000,305,1524,-0.7,"lower_tail"
724790,1980,"bc80001",10000,305,1524,1.7,"lower_tail"
724791,1980,"bc80001",10000,305,1524,5.5,"lower_tail"
724792,1980,"bc80001",10000,305,1524,7.8,"lower_tail"
724793,1980,"bc80001",10000,305,1524,9.4,"lower_tail"
724794,1980,"bc80001",10000,305,1524,13.8,"lower_tail"
724795,1980,"bc80001",10000,305,1524,22.6,"lower_tail"
724796,1980,"bc80001",10000,305,1524,36.1,"lower_tail"
724797,1980,"bc80001",10000,305,1524,48.1,"lower_tail"
724798,1980,"bc80001",10000,305,1524,54.8,"lower_tail"
724799,1980,"bc80001",10000,305,1524,59.9,"lower_tail"
724800,1980,"bc80001",10000,305,1524,65.6,"lower_tail"
724801,1980,"bc80001",10000,305,1524,30.8,"lower_tail"
724802,1980,"bc80001",10000,305,1524,16.1,"lower_tail"
724803,1980,"bc80001",10000,305,1524,5.2,"lower_tail"
724804,1980,"bc80001",10000,305,1524,2.6,"lower_tail"
724805,1980,"bc80001",10000,305,1524,2.3,"lower_tail"
724806,1980,"bc80001",10000,305,1524,1.6,"lower_tail"
724807,1980,"bc80001",10000,305,1524,0.4,"lower_tail"
724808,1980,"bc80001",10000,305,1524,-0.5,"lower_tail"
724809,1980,"bc80001",10000,305,1524,1.7,"lower_tail"
724810,1980,"bc80001",10000,305,1524,11.4,"lower_tail"
724811,1980,"bc80001",10000,305,1524,26.8,"lower_tail"
724812,1980,"bc80001",10000,305,1524,36.8,"lower_tail"
724813,1980,"bc80001",10000,305,1524,41,"lower_tail"
724814,1980,"bc80001",10000,305,1524,43.2,"lower_tail"
724815,1980,"bc80001",10000,305,1524,49.7,"lower_tail"
724816,1980,"bc80001",10000,305,1524,59.4,"lower_tail"
724817,1980,"bc80001",10000,305,1524,70.2,"lower_tail"
724818,1980,"bc80001",10000,305,1524,77.3,"lower_tail"
724819,1980,"bc80001",10000,305,1524,82.8,"lower_tail"
724820,1980,"bc80001",10000,305,1524,84.3,"lower_tail"
724821,1980,"bc80001",10000,305,1524,85.2,"lower_tail"
724822,1980,"bc80001",10000,305,1524,87.1,"lower_tail"
724823,1980,"bc80001",10000,305,1524,86.8,"lower_tail"
724824,1980,"bc80001",10000,305,1524,80.4,"lower_tail"
724825,1980,"bc80001",10000,305,1524,79.8,"lower_tail"
724826,1980,"bc80001",10000,305,1524,82.6,"lower_tail"
724827,1980,"bc80001",10000,305,1524,53.7,"lower_tail"
724828,1980,"bc80001",10000,305,1524,55.7,"lower_tail"
724829,1980,"bc80001",10000,305,1524,63.5,"lower_tail"
