"file","year","nc","nr","bands_src","threshold","frac_total","frac_interior"
"bc5255_203_thumb.jpg","1967",1250,1250,1,0,0.013768,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,4,0.0554,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,8,0.057562,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,12,0.058161,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,16,0.058429,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,20,0.058622,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,24,0.058813,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,32,0.059162,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,48,0.06014,0
"bc5255_203_thumb.jpg","1967",1250,1250,1,64,0.061828,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,0,0.012228,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,4,0.055187,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,8,0.057165,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,12,0.057934,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,16,0.058315,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,20,0.058764,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,24,0.059116,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,32,0.060268,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,48,0.063446,0
"bc5255_204_thumb.jpg","1967",1250,1250,1,64,0.072227,0.000118
"bc5300_009_thumb.jpg","1968",1250,1250,1,0,0.021231,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,4,0.052069,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,8,0.053602,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,12,0.054282,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,16,0.054796,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,20,0.055273,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,24,0.055952,0
"bc5300_009_thumb.jpg","1968",1250,1250,1,32,0.059452,2e-06
"bc5300_009_thumb.jpg","1968",1250,1250,1,48,0.070093,0.002758
"bc5300_009_thumb.jpg","1968",1250,1250,1,64,0.084524,0.004346
